0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
10,34,82,58,216,311,257,54,48,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0
4,40,79,72,198,294,241,69,33,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2,35,97,57,207,317,262,62,47,13,3,2,1,1,0,0,0,0,0,0,0,0,0,0
6,40,76,74,188,284,226,50,45,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0
5,35,84,75,191,303,267,46,40,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0
4,37,73,47,188,284,243,53,43,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6,31,72,53,153,283,271,66,45,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
4,27,52,51,143,268,308,65,52,11,3,2,2,0,0,0,0,0,0,0,0,0,0,0
7,47,83,64,206,310,271,86,49,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6,34,110,74,225,287,249,53,36,12,5,0,1,0,0,0,0,0,0,0,0,0,0,0
14,47,85,68,214,305,283,50,42,11,2,5,1,0,0,0,0,0,0,0,0,0,0,0
7,41,86,86,199,289,264,67,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,62,74,166,266,245,61,38,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0
6,17,40,31,103,223,271,66,53,12,2,3,0,1,0,0,0,0,0,0,0,0,0,0
8,36,66,64,182,284,271,66,36,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,15,24,26,110,224,282,72,52,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0
7,20,43,47,168,280,255,61,54,14,1,2,2,0,0,0,0,0,0,0,0,0,0,0
5,33,71,65,181,296,271,51,40,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2,13,19,18,79,167,242,76,72,20,3,2,1,1,0,0,0,0,0,0,0,0,0,0
0,4,6,9,43,89,157,59,48,15,7,4,1,1,0,0,0,0,0,0,0,0,0,0
2,5,27,20,73,130,184,66,56,21,3,1,2,0,0,0,0,0,0,0,0,0,0,0
2,19,31,47,121,230,279,73,56,21,6,2,1,0,0,0,0,0,0,0,0,0,0,0
2,32,51,44,174,247,252,60,35,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,56,38,162,292,252,64,50,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0
4,24,80,62,225,292,273,51,34,9,2,1,3,1,0,0,0,0,0,0,0,0,0,0
4,27,55,49,142,242,261,57,49,17,6,0,2,0,0,0,0,0,0,0,0,0,0,0
5,53,95,69,220,309,252,41,39,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0
7,31,65,57,184,275,263,60,32,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0
2,39,79,76,200,283,273,52,39,10,6,4,1,0,0,0,0,0,0,0,0,0,0,0
1,37,69,63,204,281,253,51,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,76,79,200,301,265,42,33,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0
4,28,90,63,195,311,230,50,42,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0
